timestamp_utc,rule_path,rule_id,schema_valid,validation_message,compare_path,similarity_percentage,manual_validation
2026-06-16T13:08:37+00:00,json_rules\fbi_rules\sonnet-4.6-max\substructure\decompose_abutment_d1_if1.json,decompose_abutment_d1_if1,true,valid,json_rules\substructure\decompose_abutment_d1_if1.json,98.30,
2026-06-16T13:09:52+00:00,json_rules\fbi_rules\sonnet-4.6-max\modules\attachments\attach_fahrbahn_d3_if2.json,attach_fahrbahn_d3_if2,true,valid,json_rules\modules\attachments\attach_fahrbahn_d3_if2.json,68.45,
2026-06-16T13:12:56+00:00,json_rules\fbi_rules\sonnet-4.6-max\modules\attachments\attach_expansion_d3_if1.json,attach_expansion_d3_if1,true,valid,json_rules\modules\attachments\attach_expansion_d3_if1.json,68.45,
2026-06-16T13:25:47+00:00,json_rules\fbi_rules\opus-4.8-max\requirements\satisfy_d2_1_girder.json,satisfy_d2_1_girder,true,valid,json_rules\requirements\satisfy_d2_1_girder.json,53.30,
2026-06-16T13:26:25+00:00,json_rules\fbi_rules\opus-4.8-max\substructure\decompose_substructure_abutment.json,decompose_substructure_abutment,true,valid,json_rules\substructure\decompose_substructure_abutment.json,59.38,
2026-06-16T13:26:25+00:00,json_rules\fbi_rules\opus-4.8-max\requirements\satisfy_d2_1_1_girder_element.json,satisfy_d2_1_1_girder_element,true,valid,json_rules\requirements\satisfy_d2_1_1_girder_element.json,57.29,
2026-06-16T13:26:28+00:00,json_rules\fbi_rules\opus-4.8-max\superstructure\refine_girder_d1_to_d2.json,refine_girder_d1_to_d2,true,valid,json_rules\superstructure\refine_girder_d1_to_d2.json,62.50,
2026-06-16T13:26:29+00:00,json_rules\fbi_rules\opus-4.8-max\substructure\decompose_abutment_d1_if1.json,decompose_abutment_d1_if1,true,valid,json_rules\substructure\decompose_abutment_d1_if1.json,46.01,
2026-06-16T13:26:36+00:00,json_rules\fbi_rules\opus-4.8-max\substructure\decompose_abutment_d1_if2.json,decompose_abutment_d1_if2,true,valid,json_rules\substructure\decompose_abutment_d1_if2.json,66.16,
2026-06-16T13:27:23+00:00,json_rules\fbi_rules\opus-4.8-max\substructure\decompose_abutment_d1_if1_if2.json,decompose_abutment_d1_if1_if2,true,valid,json_rules\substructure\decompose_abutment_d1_if1_if2.json,44.11,
2026-06-16T13:28:06+00:00,json_rules\fbi_rules\opus-4.8-max\requirements\satisfy_d1_1_bridge.json,satisfy_d1_1_bridge,true,valid,json_rules\requirements\satisfy_d1_1_bridge.json,51.56,
2026-06-16T13:30:10+00:00,json_rules\fbi_rules\opus-4.8-max\modules\attachments\attach_kappe_d3_if6.json,attach_kappe_d3_if6,true,valid,json_rules\modules\attachments\attach_kappe_d3_if6.json,57.42,
2026-06-16T13:30:18+00:00,json_rules\fbi_rules\opus-4.8-max\modules\girder\seed_girder_module_d3.json,seed_girder_module_d3,true,valid,json_rules\modules\girder\seed_girder_module_d3.json,43.28,
2026-06-16T13:31:06+00:00,json_rules\fbi_rules\opus-4.8-max\modules\foundation\attach_foundation_d2_middle_wall.json,attach_foundation_d2_middle_wall,true,valid,json_rules\modules\foundation\attach_foundation_d2_middle_wall.json,53.47,
2026-06-16T13:31:09+00:00,json_rules\fbi_rules\opus-4.8-max\modules\attachments\attach_expansion_d3_if2.json,attach_expansion_d3_if2,true,valid,json_rules\modules\attachments\attach_expansion_d3_if2.json,53.91,
2026-06-16T13:31:20+00:00,json_rules\fbi_rules\opus-4.8-max\modules\attachments\attach_kappe_d3_if5.json,attach_kappe_d3_if5,true,valid,json_rules\modules\attachments\attach_kappe_d3_if5.json,56.90,
2026-06-16T13:31:22+00:00,json_rules\fbi_rules\opus-4.8-max\modules\girder\grow_girder_module_d3.json,grow_girder_module_d3,true,valid,json_rules\modules\girder\grow_girder_module_d3.json,45.68,
2026-06-16T13:31:46+00:00,json_rules\fbi_rules\opus-4.8-max\modules\attachments\attach_expansion_d3_if1.json,attach_expansion_d3_if1,true,valid,json_rules\modules\attachments\attach_expansion_d3_if1.json,50.95,
2026-06-16T13:31:58+00:00,json_rules\fbi_rules\opus-4.8-max\modules\attachments\attach_fahrbahn_d3_if2.json,attach_fahrbahn_d3_if2,true,valid,json_rules\modules\attachments\attach_fahrbahn_d3_if2.json,50.97,
